Id,Uuid,TeamNumber,MatchNumber,ScoutName,Comments,Auto_Mobility,Auto_Docked,Auto_Engaged,Auto_Cubes_Top,Auto_Cubes_Mid,Auto_Cubes_Low,Auto_Cones_Top,Auto_Cones_Mid,Auto_Cones_Low,Tele_Cubes_Top,Tele_Cubes_Mid,Tele_Cubes_Low,Tele_Cones_Top,Tele_Cones_Mid,Tele_Cones_Low,Endgame_Parked,Endgame_Docked,Endgame_Engaged,Auto_Cubes,Auto_Cones,Tele_Cubes,Tele_Cones,Total Game Pieces
,993aa2f3-e3a4-462e-afc1-886a5927cd85,78,2,jason,Failed middle dock in auto moving very slow for swerve docked at 45s left,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,2.00,0.00,3.00
,5b5c7216-15f7-42fa-b7f4-da8de1a50929,78,9,jason,Made one middle link themselves and 2 pieces of a second link much faster than last time,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,3.00,1.00,0.00,1.00,1.00,1.00,0.00,2.00,4.00,7.00
,955655d5-61a8-444b-8cfa-79ebd1857a81,78,25,Nicholas,Auto stutters once point has been reached. on the slower side but efficient.,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,2.00,2.00,0.00,1.00,0.00,1.00,0.00,3.00,4.00,8.00
,28e252cb-1412-456e-bbec-4e38edfb7318,78,17,Rahcek,good overall,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,4.00,0.00,0.00,0.00,1.00,1.00,0.00,2.00,4.00,7.00
,503ddc54-0b11-4a1a-997d-f40bca2d0c5b,78,32,evn,Ok auto.,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,3.00,0.00,1.00,1.00,1.00,0.00,1.00,4.00,6.00
,92f5d4eb-d1c3-4db2-85fc-2559ae73c5b5,78,50,Nicholas,Pretty good all around. good movement and can grab from player station.,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,3.00,2.00,6.00
,3ca0a545-d5b5-42f0-ac8f-44a2659ff4cb,78,66,jason,Fast efficient nice placement fast pickup,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,3.00,1.00,0.00,1.00,1.00,1.00,0.00,3.00,4.00,8.00
,3ccb4670-1dd2-4b49-a0d1-b47865dd3f15,78,41,evn,Nice auto.,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,2.00,3.00
,4ff5a86c-133c-4afe-b99d-022faa17c029,78,58,Laura,Drops cone when hit or falling off of charge station. Fast.,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,1.00,0.00,0.00,1.00,0.00,0.00,5.00,6.00
,3c817383-fb8c-47e5-9568-dbc2f9ec1025,78,87,Jean,,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,5.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,5.00,7.00
