TeamNumber,MatchNumber,ScoutName,Comments,Auto_Mobility,Auto_Docked,Auto_Engaged,Auto_Cubes_Top,Auto_Cubes_Mid,Auto_Cubes_Low,Auto_Cones_Top,Auto_Cones_Mid,Auto_Cones_Low,Tele_Cubes_Top,Tele_Cubes_Mid,Tele_Cubes_Low,Tele_Cones_Top,Tele_Cones_Mid,Tele_Cones_Low,Endgame_Parked,Endgame_Docked,Endgame_Engaged,Auto_Cubes,Auto_Cones,Tele_Cubes,Tele_Cones
58,2,logan,Dukes of hazard,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00
58,9,jason,"Miss clicked the save button, Fast pickup and movement much better than last week",0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,4.00,0.00
58,18,Laura,Launched cube at wall in auto. can get air on balance,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,5.00,0.00
58,24,jason,Fast efficient,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,5.00,0.00
58,32,Rachel,Reckless. jumps off charge station. ,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00
58,37,terri,"Arm broke,played defense",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
58,44,evn,Fast. Efficient. Nice auto. Cubes only. Brutally killed another robot by knocking it over causing its battery to fall out.,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,3.00,0.00
58,55,evn,Has a yellow card.  Good defense. Fast. Cubes only. No top or middle scoring.,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,3.00,0.00
69,7,Nicholas,very slow. grabber seems to have jammed early this match.,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00
69,13,Laura,Tippy,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,2.00,1.00
69,18,evn,Never moved. Was being repaired when the match started. Doesn't have an auto. No pick up.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
